# date_time: 2026-03-24T11:35:49
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-24T11:35:49,90.361,1673286.0,recording_started,,-5.0,0.0,0.0,9.0169,8.9889,0.0,12.4526,14.0159,15.9678,23.2109,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.011,-0.00208,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:49,90.471,1673396.0,,,-5.0,0.0,0.0,9.0135,8.9889,0.0,12.4088,14.0159,15.9678,23.2813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0088,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:49,90.582,1673507.0,,,-5.0,0.0,0.0,9.0106,8.9889,0.0,12.4088,13.9719,15.9975,23.2031,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0068,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:49,90.692,1673617.0,,,-5.0,0.0,0.0,9.008,9.05,0.0,12.4526,13.9205,16.0942,23.2109,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0111,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:49,90.802,1673727.0,,,-5.0,0.0,0.0,9.013,9.05,0.0,12.4745,14.0159,16.0347,23.2266,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.015,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:49,90.912,1673837.0,,,-5.0,0.0,0.0,9.0175,9.05,0.0,12.3942,13.9572,15.9975,23.2813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0185,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.022,1673947.0,,,-5.0,0.0,0.0,9.0214,9.05,0.0,12.4307,14.0818,16.0124,23.2344,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0216,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.132,1674057.0,,,-5.0,0.0,0.0,9.0248,8.9889,0.0,12.5548,13.9572,15.9975,23.25,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0184,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.242,1674167.0,,,-5.0,0.0,0.0,9.0241,9.0194,0.0,12.4672,13.8766,16.0942,23.3281,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0185,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.352,1674277.0,,,-5.0,0.0,0.0,9.0236,9.0803,0.0,12.4161,13.9719,16.0124,23.3047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0247,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.462,1674387.0,,,-5.0,0.0,0.0,9.0231,8.9889,0.0,12.4307,14.0598,15.9752,23.3906,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0211,-0.01735,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.572,1674497.0,,,-5.0,0.0,0.0,9.0226,9.0194,0.0,12.5475,14.0159,15.9975,23.2813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0209,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.683,1674608.0,,,-5.0,0.0,0.0,9.0223,9.0194,0.0,12.4161,14.0012,15.9678,23.25,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0208,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.793,1674718.0,,,-5.0,0.0,0.0,9.0219,8.9889,0.0,12.4672,13.9205,16.0124,23.1563,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0176,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:50,91.903,1674828.0,,,-5.0,0.0,0.0,9.0216,9.0194,0.0,12.5329,13.9792,16.0124,23.0781,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0178,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.013,1674938.0,,,-5.0,0.0,0.0,9.0214,9.0194,0.0,12.4891,13.9352,16.0496,23.0703,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0179,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.123,1675048.0,,,-5.0,0.0,0.0,9.0211,9.05,0.0,12.4161,13.9792,16.0794,23.1641,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0211,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.233,1675158.0,,,-5.0,0.0,0.0,9.0246,9.05,0.0,12.4891,14.0598,16.0496,23.2031,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.024,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.366,1675291.0,,,-5.0,1.0,0.0,9.0276,9.0194,0.0,12.4526,14.0305,16.0347,23.25,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0236,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.553,1675478.0,,,-5.0,1.0,0.0,9.0267,9.0194,0.0,12.3942,14.0378,16.0794,23.2734,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0232,-0.01227,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.664,1675589.0,,,-5.0,1.0,0.0,9.0258,8.9889,0.0,12.4891,14.0745,16.0273,23.2109,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0197,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:51,92.775,1675700.0,,,-5.0,1.0,0.0,9.025,9.05,0.0,12.4891,14.0525,16.0124,23.2266,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0228,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:52,92.885,1675810.0,,,-5.0,1.0,0.0,9.028,9.0803,0.0,12.5183,13.9792,16.0942,23.2109,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0285,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:52,92.995,1675920.0,,,-5.0,1.0,0.0,9.0307,9.0194,0.0,12.5183,13.9792,16.0719,23.2813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0276,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:52,93.105,1676030.0,,,-5.0,1.0,0.0,9.033,9.05,0.0,12.4307,14.0159,16.057,23.2734,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0298,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:52,93.215,1676140.0,,,-5.0,1.0,0.0,9.0313,9.0194,0.0,12.4526,14.0598,16.1389,23.3516,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0288,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:52,93.325,1676250.0,,,-5.0,1.0,0.0,9.0299,9.0194,0.0,12.4307,14.0159,16.0942,23.3516,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0279,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T11:35:52,93.435,1676360.0,,,-5.0,1.0,0.0,9.0287,9.0194,0.0,12.4964,13.9792,16.0942,23.3047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.027,-0.01654,0.0,none,cryostage_characterization_v3_rtdfault_ignored
