# date_time: 2026-03-24T12:06:32
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-24T12:06:32,54.531,54949.0,recording_started,,-5.0,1.0,0.0,8.9936,8.9889,0.0,12.3723,13.8986,15.9901,23.4219,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9952,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:32,54.641,55059.0,,,-5.0,1.0,0.0,8.9931,8.9889,0.0,12.4161,13.9572,15.8934,23.4141,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9945,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:32,54.751,55169.0,,,-5.0,1.0,0.0,8.9926,8.9586,0.0,12.3796,14.0012,15.9752,23.4141,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9909,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:32,54.861,55279.0,,,-5.0,1.0,0.0,8.9885,8.9586,0.0,12.3577,13.8986,15.9454,23.4609,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9877,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,54.971,55389.0,,,-5.0,1.0,0.0,8.9849,9.0194,0.0,12.3577,13.9792,15.9975,23.4844,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9909,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.081,55499.0,,,-5.0,1.0,0.0,8.9854,8.9889,0.0,12.3504,13.9792,15.9529,23.5234,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9907,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.191,55609.0,,,-5.0,1.0,0.0,8.9858,8.9586,0.0,12.4161,13.9792,15.9157,23.5078,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9875,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.301,55719.0,,,-5.0,1.0,0.0,8.9825,8.9586,0.0,12.3723,13.9499,15.9752,23.4375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9846,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.411,55829.0,,,-5.0,1.0,0.0,8.9797,9.0194,0.0,12.3504,13.9132,15.8859,23.3984,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9881,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.521,55939.0,,,-5.0,1.0,0.0,8.9844,9.0194,0.0,12.3285,13.8986,15.9529,23.4375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9912,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.631,56049.0,,,-5.0,1.0,0.0,8.9886,9.0194,0.0,12.3285,13.9719,16.0124,23.5234,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.994,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.741,56159.0,,,-5.0,1.0,0.0,8.9923,9.0194,0.0,12.3796,13.9792,15.9975,23.5234,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9966,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.851,56269.0,,,-5.0,1.0,0.0,8.9956,8.9889,0.0,12.3723,13.9132,15.9975,23.4609,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9958,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:33,55.961,56379.0,,,-5.0,1.0,0.0,8.9948,8.9889,0.0,12.4161,13.9572,15.9975,23.4219,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9951,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.071,56489.0,,,-5.0,1.0,0.0,8.9941,9.0194,0.0,12.4745,13.8766,15.9678,23.5,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9976,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.181,56599.0,,,-5.0,1.0,0.0,8.9935,8.9889,0.0,12.4307,13.8986,16.0719,23.5078,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9967,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.291,56709.0,,,-5.0,1.0,0.0,8.9966,9.0194,0.0,12.3504,13.9132,15.9454,23.4609,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.999,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.401,56819.0,,,-5.0,1.0,0.0,8.9957,8.9586,0.0,12.3504,13.8986,15.9901,23.5,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9949,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.511,56929.0,,,-5.0,1.0,0.0,8.9949,8.9889,0.0,12.3504,13.9499,15.9901,23.5,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9943,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.621,57039.0,,,-5.0,1.0,0.0,8.9942,9.0194,0.0,12.3942,13.9205,15.9529,23.4219,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9968,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.731,57149.0,,,-5.0,1.0,0.0,8.9972,9.0194,0.0,12.3942,13.9205,15.9678,23.5313,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9991,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.841,57259.0,,,-5.0,1.0,0.0,8.9999,8.9586,0.0,12.4307,13.9132,15.9678,23.4766,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9951,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:34,56.951,57369.0,,,-5.0,1.0,0.0,8.9985,8.9889,0.0,12.3942,13.9499,15.9083,23.4766,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9944,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.061,57479.0,,,-5.0,1.0,0.0,8.9974,8.9889,0.0,12.4307,13.9792,15.8636,23.5,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9939,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.171,57589.0,,,-5.0,1.0,0.0,8.9964,9.0194,0.0,12.2993,13.9205,16.0273,23.4375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9964,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.281,57699.0,,,-5.0,1.0,0.0,8.9991,9.0194,0.0,12.3285,13.9205,15.9454,23.4219,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9987,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.391,57809.0,,,-5.0,1.0,0.0,9.0016,9.0194,0.0,12.4307,13.9939,15.9901,23.5,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0008,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.501,57919.0,,,-5.0,1.0,0.0,9.0037,8.9586,0.0,12.3504,13.9719,15.9901,23.4844,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9966,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.611,58029.0,,,-5.0,1.0,0.0,8.9983,8.9586,0.0,12.3577,13.9572,15.9306,23.4844,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9928,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.721,58139.0,,,-5.0,1.0,0.0,8.9935,8.9889,0.0,12.4526,13.9499,15.9975,23.4609,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9924,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.831,58249.0,,,-5.0,1.0,0.0,8.9894,8.9586,0.0,12.511,13.8766,15.9678,23.4375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.989,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:35,57.941,58359.0,,,-5.0,1.0,0.0,8.9893,9.0194,0.0,12.4672,13.8986,15.9678,23.5469,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9921,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.051,58469.0,,,-5.0,1.0,0.0,8.9856,8.9586,0.0,12.4161,13.9499,15.9901,23.6172,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9887,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.161,58579.0,,,-5.0,1.0,0.0,8.986,8.9889,0.0,12.3796,13.9792,15.9454,23.4375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9887,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.271,58689.0,,,-5.0,1.0,0.0,8.9864,9.0194,0.0,12.3796,13.9572,15.9306,23.5313,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9918,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.381,58799.0,,,-5.0,1.0,0.0,8.9903,9.0194,0.0,12.4161,13.8766,15.8487,23.5469,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9946,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.491,58909.0,,,-5.0,1.0,0.0,8.9938,9.0194,0.0,12.4307,13.9939,15.9306,23.5078,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9971,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.601,59019.0,,,-5.0,1.0,0.0,8.9969,9.0194,0.0,12.2993,13.9792,15.9157,23.5703,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9993,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.711,59129.0,,,-5.0,1.0,0.0,8.9996,9.0194,0.0,12.3504,13.9205,15.9678,23.5078,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0013,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.821,59239.0,,,-5.0,1.0,0.0,9.002,8.9889,0.0,12.3504,13.9939,16.0347,23.5469,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0001,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:36,58.931,59349.0,,,-5.0,1.0,0.0,9.0004,8.9586,0.0,12.3285,13.9132,15.9306,23.5313,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9959,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.041,59459.0,,,-5.0,1.0,0.0,8.999,9.0194,0.0,12.4745,13.9499,15.9454,23.5313,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9983,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.151,59569.0,,,-5.0,1.0,0.0,8.9942,8.9281,0.0,12.4526,13.9132,15.9529,23.5313,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9913,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.261,59679.0,,,-5.0,1.0,0.0,8.9936,8.9889,0.0,12.3577,13.9719,16.0124,23.3047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.991,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.371,59789.0,,,-5.0,1.0,0.0,8.993,8.9889,0.0,12.3942,13.9792,15.9901,23.3984,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9908,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.481,59899.0,,,-5.0,1.0,0.0,8.9925,9.0194,0.0,12.3577,13.8986,15.9678,23.5938,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9937,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.591,60009.0,,,-5.0,1.0,0.0,8.9921,8.9889,0.0,12.3504,13.8692,15.8934,23.5703,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9932,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.701,60119.0,,,-5.0,1.0,0.0,8.9954,9.0194,0.0,12.3942,13.9939,15.8859,23.5547,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9958,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T12:06:37,59.811,60229.0,,,-5.0,1.0,0.0,8.9946,8.9889,0.0,12.438,13.9499,15.9306,23.6563,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9951,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
